amplicon	LWR	fract	aLWR	afract	taxopath	TAX1	TAX2	TAX3	TAX4	TAX5	TAX6
7324740720dd88e943fcbb1096fa6bb899eef4f3;size=12021	0.9976	0.9984	0.9976	0.9984	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
77ff1e9165671c360a6f583cc4843ba2ad49cf0c;size=28	0.9848	0.992	0.985	0.9922	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
5032a12cd7e032b9d9e07cb827e109490f913245;size=44	0.9558	0.9594	0.9893	0.9931	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
f9a8308d9806972e528cf3a2507ba0139c036575;size=284	0.9797	0.9829	0.9797	0.9829	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
a9423f9b37784f63ae970f909c5fa55b92df03c1;size=19257	0.9971	0.9978	0.9971	0.9978	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
9e5346e6159c71ec547d50e81996320f53d672a6;size=271	0.4893	0.5187	0.4893	0.5187	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
26c7214845d21e9241bef04d3bc98b68b6eb4dba;size=355	0.7314	0.7364	0.9215	0.9278	Eukaryota;SAR;Alveolata;Perkinsea	Eukaryota	SAR	Alveolata	Perkinsea	NA	NA
4cfea3e4a3eeb2351ab7971623a8f2667d281549;size=64	0.6622	0.6768	0.6622	0.6768	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
ec8aa98ed7c0fef452c90d1be5ad550fda9e4441;size=7411	1	1	1	1	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
b9aa699be636c3e407ebaed2b21534a2bbb5b231;size=221	0.8445	0.8647	0.9682	0.9914	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
d9ef934f8581556941c370800b96b3de70835fff;size=723	0.9877	0.989	0.9877	0.989	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
b18d79e063617485b394f65fc70855e8fa0bd9af;size=98	0.71	0.7109	0.8565	0.8576	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
22666e9445897f699bebbee396174ef9ac871ca1;size=174	0.9859	0.9957	0.9861	0.9959	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
ad5b3a6d43dc19188c96e5ba560078c91f9fdf94;size=334	0.9957	0.9957	0.9957	0.9957	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
f317e7ae2f15c004e541fa530e0d35863c1bb327;size=117	0.7089	0.7289	0.965	0.9923	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
dde58f0024e8efa6a1a98e6b3ff18084dc6165ee;size=1883	0.9411	0.9536	0.9411	0.9536	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
5a60840922032169740dc28246c4fd17a163a8f2;size=3769	0.998	0.9981	0.998	0.9981	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
e674a9f56a3a26b0b23b399073647ec7b96f93be;size=34345	0.9999	0.9999	0.9999	0.9999	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
afd379bc9e61e4aa9cdf3fc071cb069a6ebce586;size=241	0.9925	0.9954	0.9926	0.9955	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
f384a496acee1ba29e88b068bbbae7808ad5c7fb;size=151	0.9065	0.917	0.9157	0.9263	Eukaryota;SAR;Alveolata;Perkinsea	Eukaryota	SAR	Alveolata	Perkinsea	NA	NA
725b53ef4632453ee51c6dc4db1e9e1f98de39f7;size=364	0.9964	0.9975	0.9964	0.9975	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
3fb8d0edc68259a64d97904efacc6ddb3759692b;size=35951	0.9505	0.9617	0.9505	0.9617	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
b59761e9f0e017b3f3944db4b869411e1b4be147;size=161	0.9344	0.9348	0.9595	0.9599	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
d2cf55babd69d4b705cfab778dc5c8e645e4de86;size=60	0.9868	0.9884	0.9868	0.9884	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
fa4cb269dbcf6569c69587ebdfa86179826b6750;size=19998	0.9696	0.9809	0.9698	0.9811	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
4b1c0bd8f8577ecacda165f7b72e9e6decbda6ba;size=93	0.998	0.998	0.998	0.998	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
571a814776be68432903c967a005f4a5ae7a68f1;size=24	0.9722	1	0.9722	1	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
505ca3ddc3c666e001c64f3f71cbb1dd3dbf9b86;size=818	0.7112	0.7509	0.7112	0.7509	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
7c16cc2d09fac6deafe04442205d2cee58896ba5;size=6042	0.9935	0.9943	0.9935	0.9943	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
526a9abf3c33ea27ec8713902d99b11deae7d39f;size=211	0.9868	0.9928	0.987	0.993	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
84521a1be2237c53d2a1842fd7d2c81794687f49;size=23	0.8795	0.9217	0.8796	0.9218	Eukaryota;SAR;Alveolata;Perkinsea	Eukaryota	SAR	Alveolata	Perkinsea	NA	NA
1d1c6c2b19cd223e3073f52337b50fda1b28bebb;size=76	0.9237	0.9285	0.9237	0.9285	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
45c8ae624737be572603012f89625e3ed4b03949;size=320	0.6567	0.667	0.8803	0.8941	Eukaryota;SAR;Alveolata;Perkinsea	Eukaryota	SAR	Alveolata	Perkinsea	NA	NA
6556defa1947364197e70c4b29f5bda293efc1a6;size=316	0.836	0.8507	0.836	0.8507	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
06dad572291bb2a12d0143ebb149de3cf3ecf215;size=26	0.4957	0.4969	0.9173	0.9195	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
a78daf64e2cb0246529a465248eda11e1bf6a9cd;size=12	0.5933	0.5954	0.9216	0.925	Eukaryota;SAR;Alveolata;Perkinsea	Eukaryota	SAR	Alveolata	Perkinsea	NA	NA
33efcb2301c94e3c667bab7352c6fc805a838606;size=28	0.9669	0.969	0.9669	0.969	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
e30d8a249c865f08795da7266320070523683c4d;size=21	0.9585	0.9641	0.9585	0.9641	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
46f5c0a794bbca38e557f6cf549f0b50ddd23985;size=16	0.9925	0.9955	0.9927	0.9957	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
7d7ae7fddd9ea5993f3ecf43cb69e9a0cdfc0e13;size=472	0.9617	0.9633	0.9617	0.9633	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
ed231dd260814468a245044883b87897a6e844a1;size=20	0.9846	0.9889	0.9846	0.9889	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
4b3f95b6d19371cce2267d985300267bccbddd34;size=980	1	1	1	1	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
788590dcb6e166d97a9342e7e6f47161e261edfb;size=796	0.9839	0.986	0.9839	0.986	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
2f74f204bd766fadfbf34c0912f9d9f73e3046f5;size=10	0.5958	0.5963	0.7699	0.7706	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
045554762b33cd7713501c1daa62ac67ee739f7d;size=24	0.9995	0.9995	0.9995	0.9995	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
6ab850952c675e39ad0f7d47dcba48e07611c4ec;size=1358	0.8059	0.8059	0.9985	0.9985	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
677ee71259eb238b4d1ba63b07b9cf9a46f8db49;size=239	0.9998	1	0.9998	1	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
e91e66df61eb47b6283f8e0def815a05d127157e;size=20768	0.5966	0.5966	0.9977	0.9977	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
970a252a2387d1b9ed206793509be04d29c048d1;size=20	0.9791	0.9904	0.9791	0.9904	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
4e4c682271463f322ba28d4b4a86c4243b76b7c3;size=396	0.9848	0.9849	0.9848	0.9849	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
e353d373bf2b7eeae70bdf391afa46ec77a299a6;size=42	0.9763	0.9763	0.9763	0.9763	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
1e26b111bad6239424cb5609fa19748176e88c61;size=50	0.9999	0.9999	1	1	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
68dd5685bf0af0f149ab14f7cb7146cf2bfd4b25;size=543	0.9868	0.9891	0.9868	0.9891	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
267a149b85b77feac80c7e69a16d39bc578edd24;size=3124	0.9203	0.9203	1	1	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
642d6d45bc1d6b1a0e5cf9a70b83caeb0b778b3c;size=18	0.9712	0.9713	0.9712	0.9713	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
4ec52250f0b8e4bdcaeb69a6e76483cbedfbe146;size=46	0.9823	0.9862	0.9942	0.9981	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
cf0dd0632f16e9ebc7b3a5547790b2f3854d1f92;size=555	0.9557	0.9706	0.9557	0.9706	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
9c4fb71b4f204fc59c9c551f8bcec6960f07f49f;size=14	0.9946	0.9981	0.9946	0.9981	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
1a765388e7b8cf72c2ff43cded55f6223c77666f;size=2218	0.835	0.8564	0.9694	0.9943	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
64cf20e1f68596d3afa3e0c645dce6b865c87db4;size=29	0.9665	0.9754	0.9665	0.9754	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
4ec5b2a8a8ac0f05ee591133e856222f2207c71a;size=36	0.9975	0.9999	0.9976	1	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
caa23d99a652f17da1ac3cd81418c11d8bf75879;size=101111	0.8229	0.8483	0.9592	0.9889	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
2e65732ca3d6449e1a821cf4eb9e8d20f74f257c;size=15	0.9983	0.9984	0.9983	0.9984	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
2632e1df0a35a009ca06241e88f6571afcc297de;size=25	0.5678	0.5722	0.734	0.7396	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
78d4b38e66a3167d8f4a27d53c25835a934b527e;size=130	0.9676	0.9754	0.9677	0.9755	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
fe576d691164edd40a209c903f654f719d0d2df1;size=203	0.508	0.5089	0.9839	0.9856	Eukaryota;SAR;Alveolata;Perkinsea	Eukaryota	SAR	Alveolata	Perkinsea	NA	NA
2686f87dec5493ca607dc7c6c09301931f334f86;size=19	0.4366	0.439	0.6995	0.7033	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
152a9dcb57bb040a3d263bd596395e7a0e10f62d;size=14	0.7899	0.8225	0.9603	1	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
00d9545f825571986a8c2bea1273b27714ad1df8;size=16	0.837	0.8426	0.9176	0.9237	Eukaryota;SAR;Alveolata;Perkinsea	Eukaryota	SAR	Alveolata	Perkinsea	NA	NA
70de63ed5ae41d60b6b7ec5806132fc075ad5d8d;size=24	0.8756	0.8778	0.9207	0.9231	Eukaryota;SAR;Alveolata;Perkinsea	Eukaryota	SAR	Alveolata	Perkinsea	NA	NA
5a6563eb1a4f33b5ca9eeabb8249481789dec07f;size=237	0.7045	0.7067	0.9529	0.9559	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
144bbccd3fe0475cb7aa46c85cfebf7db3f3f886;size=15	0.9283	0.9365	0.9284	0.9366	Eukaryota;SAR;Alveolata;Perkinsea	Eukaryota	SAR	Alveolata	Perkinsea	NA	NA
e4bc52ebf7ef273d234faeaa24a88bb411cd21a6;size=72	0.8137	0.8532	0.9075	0.9516	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
9f6482d60ede3f6f311fe13f689d1b223b1ba002;size=1196	0.9995	1	0.9995	1	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
a023265ea0f37c8e5df62bf679a13a985504b520;size=148	1	1	1	1	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
7901e578478a97e38ebbab92918d1ca281cff768;size=27	0.9625	0.9625	0.9873	0.9873	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
d8fcded1968477322f50af5dfc135a624fe05740;size=294	1	1	1	1	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
d31e6d6b5378388f57d2a7a8d181148e1ec25bed;size=22	0.998	1	0.998	1	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
56aa021484c44938604b485e480620abf4169424;size=27	1	1	1	1	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
5edfd5cdd45ef2053c6ff7208df7011816128f8b;size=15	0.9817	0.9817	0.9817	0.9817	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
e74397b5af65e31534ec9223cd59ffa0143ba633;size=166	0.9894	0.9895	0.9894	0.9895	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
5ec79956ff98687c50bf5a971a5de493c55ccd1f;size=593	0.9398	0.9407	0.9398	0.9407	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
dbdfd1b74734f69453f11a0996ceb5c0b9ffe5b2;size=10	1	1	1	1	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
07dfd93ea43185db8e2568c55d198fd538d66044;size=17	1	1	1	1	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
716d83af0aeaecab82ff6ef96d7185fea37f5281;size=107	1	1	1	1	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
2d3c9c7d9f729d2fe1c3f88eaa80b3fc185db905;size=3198	0.9418	0.9467	0.9418	0.9467	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
41c56f04682f1b2125d2500d0ee655211bb42a4b;size=15	1	1	1	1	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
0c3d23465101b525bfa16530e095b32613279276;size=11	0.4673	0.4817	0.4673	0.4817	Eukaryota;SAR;Alveolata;Perkinsea;NAG01;Freshwater environmental sequence	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	Freshwater environmental sequence
8c640e5486cc801b050067002a659ffd2d79390c;size=12	0.4543	0.4598	0.906	0.9171	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
60b1d5ea47e7dd1f3e9705775af376630752f882;size=11	0.4489	0.4495	0.7921	0.7931	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
e823fb81d263ce8786e75badb0f0f44bc52e5e6e;size=287	0.6349	0.6358	0.8482	0.8495	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
d32b0fb2f88c6864a7e7a5f0e77eb4437abdfb37;size=67	0.6203	0.6214	0.998	0.9998	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
b4133f2f613d9f237b36a16c6dc1511d4085688f;size=45	0.4111	0.4162	0.7297	0.7388	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
e1feb63213dca664d7d1b14d97877930a5d6b3ee;size=20	0.69	0.6961	0.6901	0.6961	Eukaryota;SAR;Alveolata;Perkinsea;NAG01	Eukaryota	SAR	Alveolata	Perkinsea	NAG01	NA
