Sample	Station	Depth	Fraction	Extract	lat	long	Ocean	Sub_ocean	Long_prov	Dataset	Layer	Layer2	Leg	Date	Notes	Temp	Cond	Ox_v	Fluo	PAR	SPAR	Turb	Batt	Sal	Ox_mL_L
D524	30	550	Pico	DNA	-25.868	-27.567	AO	SAO	SATL	Vertical_DNA	Mesopelagic	Aphotic	2	22/01/2011	min O2-DSL	9.3245	3.7428	2.0075	0.018648	1.00E-12	2543.5	0.021	-9.99E-29	34.721	4.2899
R524	30	550	Pico	RNA	-25.868	-27.567	AO	SAO	SATL	Vertical_RNA	Mesopelagic	Aphotic	2	22/01/2011	min O2-DSL	9.3245	3.7428	2.0075	0.018648	1.00E-12	2543.5	0.021	-9.99E-29	34.721	4.2899
D522	30	850	Pico	DNA	-25.868	-27.567	AO	SAO	SATL	Vertical_DNA	Mesopelagic	Aphotic	2	22/01/2011	min sal	4.5291	3.2854	1.8329	0.020022	1.00E-12	1800.6	0.019	0.1612	34.352	4.3925
R522	30	850	Pico	RNA	-25.868	-27.567	AO	SAO	SATL	Vertical_RNA	Mesopelagic	Aphotic	2	22/01/2011	min sal	4.5291	3.2854	1.8329	0.020022	1.00E-12	1800.6	0.019	0.1612	34.352	4.3925
D520	30	2400	Pico	DNA	-25.868	-27.567	AO	SAO	SATL	Vertical_DNA	Bathypelagic	Aphotic	2	22/01/2011	max sal	2.9763	3.2604	1.7802	-9.99E-29	1.00E-12	355.92	-9.99E-29	0.1567	34.925	5.3406
R520	30	2400	Pico	RNA	-25.868	-27.567	AO	SAO	SATL	Vertical_RNA	Bathypelagic	Aphotic	2	22/01/2011	max sal	2.9763	3.2604	1.7802	-9.99E-29	1.00E-12	355.92	-9.99E-29	0.1567	34.925	5.3406
D518	30	3300	Pico	DNA	-25.868	-27.567	AO	SAO	SATL	Vertical_DNA	Bathypelagic	Aphotic	2	22/01/2011	max sal	2.528	3.2531	1.6436	0.020906	1.00E-12	179.29	0.016	0.1549	34.904	5.4303
R518	30	3300	Pico	RNA	-25.868	-27.567	AO	SAO	SATL	Vertical_RNA	Bathypelagic	Aphotic	2	22/01/2011	max sal	2.528	3.2531	1.6436	0.020906	1.00E-12	179.29	0.016	0.1549	34.904	5.4303
D516	30	4000	Pico	DNA	-25.868	-27.567	AO	SAO	SATL	Vertical_DNA	Bathypelagic	Aphotic	2	22/01/2011	NA	1.6309	3.192	1.4681	0.021708	1.00E-12	132.57	0.018	0.151	34.812	5.139
R516	30	4000	Pico	RNA	-25.868	-27.567	AO	SAO	SATL	Vertical_RNA	Bathypelagic	Aphotic	2	22/01/2011	NA	1.6309	3.192	1.4681	0.021708	1.00E-12	132.57	0.018	0.151	34.812	5.139
MD550	32	3	Pico	DNA	-26.947	-21.4	AO	SAO	SATL	Surface	Surface	Photic	2	24/01/2011	NA	24.227	5.4155	2.7673	0.023741	620.15	2179.5	0.038	0.2082	36.427	4.5661
MD575	33	3	Pico	DNA	-27.553	-18.089	AO	SAO	SATL	Surface	Surface	Photic	2	25/01/2011	NA	23.56	5.3165	2.7674	0.021233	793.64	2259.5	0.042	0.2126	36.217	4.6261
MD591	34	3	Pico	DNA	-28.091	-14.791	AO	SAO	SATL	Surface	Surface	Photic	2	26/01/2011	NA	23.572	5.3587	2.7765	0.018243	890.26	2329	0.034	0.2218	36.531	4.6371
MD621	35	3	Pico	DNA	-28.649	-11.812	AO	SAO	SATL	Surface	Surface	Photic	2	27/01/2011	NA	23.341	5.3159	2.7761	0.016243	553.88	2024.2	0.05	0.2259	36.393	4.6554
MD646	37	3	Pico	DNA	-29.767	-5.315	AO	SAO	SATL	Surface	Surface	Photic	2	29/01/2011	NA	22.288	5.17	2.7782	0.023721	486.19	1565.9	0.038	0.2346	36.129	4.7533
MD664	38	3	Pico	DNA	-30.262	-2.435	AO	SAO	SATL	Surface	Surface	Photic	2	30/01/2011	NA	22.475	5.1718	2.7785	0.020661	741.02	2166.2	0.073	0.2424	35.989	4.7399
MD684	39	3	Pico	DNA	-30.882	0.968	AO	SAO	SATL	Surface	Surface	Photic	2	31/01/2011	NA	21.659	5.0817	2.7725	0.030101	2.1789	10.32	0.039	0.2399	35.956	4.7904
D670	39	3	Pico	DNA	-30.882	0.968	AO	SAO	SATL	Vertical_DNA	Surface	Photic	2	31/01/2011	NA	21.659	5.0817	2.7725	0.030101	2.1789	10.32	0.039	0.2399	35.956	4.7904
R670	39	3	Pico	RNA	-30.882	0.968	AO	SAO	SATL	Vertical_RNA	Surface	Photic	2	31/01/2011	NA	21.659	5.0817	2.7725	0.030101	2.1789	10.32	0.039	0.2399	35.956	4.7904
D682	39	110	Pico	DNA	-30.882	0.968	AO	SAO	SATL	Vertical_DNA	DCM	Photic	2	31/01/2011	DCM	16.461	4.5093	2.6287	0.097381	2.4863	1403.9	0.037	0.244	35.603	4.9871
R682	39	110	Pico	RNA	-30.882	0.968	AO	SAO	SATL	Vertical_RNA	DCM	Photic	2	31/01/2011	DCM	16.461	4.5093	2.6287	0.097381	2.4863	1403.9	0.037	0.244	35.603	4.9871
D680	39	540	Pico	DNA	-30.882	0.968	AO	SAO	SATL	Vertical_DNA	Mesopelagic	Aphotic	2	31/01/2011	DSL	8.5005	3.657	1.8997	0.019444	1.00E-12	1376.5	-9.99E-29	0.2216	34.63	4.0447
R680	39	540	Pico	RNA	-30.882	0.968	AO	SAO	SATL	Vertical_RNA	Mesopelagic	Aphotic	2	31/01/2011	DSL	8.5005	3.657	1.8997	0.019444	1.00E-12	1376.5	-9.99E-29	0.2216	34.63	4.0447
D678	39	800	Pico	DNA	-30.882	0.968	AO	SAO	SATL	Vertical_DNA	Mesopelagic	Aphotic	2	31/01/2011	NA	4.6476	3.2915	1.9022	0.019536	1.00E-12	1202.5	0.023	0.2187	34.325	4.5838
R678	39	800	Pico	RNA	-30.882	0.968	AO	SAO	SATL	Vertical_RNA	Mesopelagic	Aphotic	2	31/01/2011	NA	4.6476	3.2915	1.9022	0.019536	1.00E-12	1202.5	0.023	0.2187	34.325	4.5838
D676	39	1290	Pico	DNA	-30.882	0.968	AO	SAO	SATL	Vertical_DNA	Bathypelagic	Aphotic	2	31/01/2011	NA	3.1034	3.1967	1.5824	0.021423	1.00E-12	1178.3	0.023	0.2166	34.569	3.8931
R676	39	1290	Pico	RNA	-30.882	0.968	AO	SAO	SATL	Vertical_RNA	Bathypelagic	Aphotic	2	31/01/2011	NA	3.1034	3.1967	1.5824	0.021423	1.00E-12	1178.3	0.023	0.2166	34.569	3.8931
D674	39	3080	Pico	DNA	-30.882	0.968	AO	SAO	SATL	Vertical_DNA	Bathypelagic	Aphotic	2	31/01/2011	NA	2.3218	3.2235	1.5852	0.020507	1.00E-12	691.76	0.02	0.2136	34.863	5.0214
R674	39	3080	Pico	RNA	-30.882	0.968	AO	SAO	SATL	Vertical_RNA	Bathypelagic	Aphotic	2	31/01/2011	NA	2.3218	3.2235	1.5852	0.020507	1.00E-12	691.76	0.02	0.2136	34.863	5.0214
D672	39	4000	Pico	DNA	-30.882	0.968	AO	SAO	SATL	Vertical_DNA	Bathypelagic	Aphotic	2	31/01/2011	NA	1.714	3.1985	1.4133	0.021417	1.00E-12	435.26	0.024	0.2117	34.802	4.8309
R672	39	4000	Pico	RNA	-30.882	0.968	AO	SAO	SATL	Vertical_RNA	Bathypelagic	Aphotic	2	31/01/2011	NA	1.714	3.1985	1.4133	0.021417	1.00E-12	435.26	0.024	0.2117	34.802	4.8309
MD712	40	3	Pico	DNA	-31.308	3.749	AO	SAO	SATL	Surface	Surface	Photic	2	01/02/2011	NA	21.188	5.0136	2.7812	0.026207	361.56	1332.1	0.04	0.2687	35.805	4.8522
MD734	41	3	Pico	DNA	-31.832	6.857	AO	SAO	SATL	Surface	Surface	Photic	2	02/02/2011	NA	20.902	4.9817	2.7697	0.030512	135.98	1007.4	0.046	0.2871	35.787	4.8552
MD753	43	3	Pico	DNA	-32.813	12.769	AO	SAO	BENG	Surface	Surface	Photic	2	04/02/2011	NA	20.438	4.8955	2.767	0.075175	224.25	829.27	0.081	0.3926	35.48	4.893
MD778	44	3	Pico	DNA	-33.233	15.34	AO	SAO	BENG	Surface	Surface	Photic	2	05/02/2011	NA	20.661	4.9278	2.7583	0.033786	673.41	2246	0.069	0.3669	35.555	4.8508
MD806	45	3	Pico	DNA	-35.136	25.563	IO	IO	EAFR	Surface	Surface	Photic	3	13/02/2011	Botellón superficie	22.555	5.1041	2.7459	0.095559	369.89	1647.4	0.128	0.5692	35.394	4.6791
MD834	46	3	Pico	DNA	-34.837	27.549	IO	IO	EAFR	Surface	Surface	Photic	3	14/02/2011	Botellón superficie	25.999	5.4548	2.7176	0.041422	223.9	795.94	0.048	0.6712	35.313	4.3708
MD854	47	3	Pico	DNA	-34.44	31.112	IO	IO	EAFR	Surface	Surface	Photic	3	15/02/2011	Botellón superficie	23.252	5.1956	2.7431	0.03373	1.00E-12	1819.1	0.051	0.62	35.539	4.6146
MD876	49	3	Pico	DNA	-33.907	37.042	IO	IO	ISSG	Surface	Surface	Photic	3	17/02/2011	Botellón superficie	23.49	5.2356	2.7441	0.032799	211.52	715	0.061	2.4496	35.654	4.5985
D862	49	3	Pico	DNA	-33.907	37.042	IO	IO	ISSG	Vertical_DNA	Surface	Photic	3	17/02/2011	Botellón superficie	23.49	5.2356	2.7441	0.032799	211.52	715	0.061	2.4496	35.654	4.5985
R862	49	3	Pico	RNA	-33.907	37.042	IO	IO	ISSG	Vertical_RNA	Surface	Photic	3	17/02/2011	Botellón superficie	23.49	5.2356	2.7441	0.032799	211.52	715	0.061	2.4496	35.654	4.5985
D874	49	86	Pico	DNA	-33.907	37.042	IO	IO	ISSG	Vertical_DNA	DCM	Photic	3	17/02/2011	DCM	19.231	4.7864	2.5821	0.20786	3.234	1029.6	0.052	2.335	35.573	4.6372
R874	49	86	Pico	RNA	-33.907	37.042	IO	IO	ISSG	Vertical_RNA	DCM	Photic	3	17/02/2011	DCM	19.231	4.7864	2.5821	0.20786	3.234	1029.6	0.052	2.335	35.573	4.6372
D872	49	450	Pico	DNA	-33.907	37.042	IO	IO	ISSG	Vertical_DNA	Mesopelagic	Aphotic	3	17/02/2011	DSL	13.543	4.1994	2.2667	0.017233	1.00E-12	1227.5	-9.99E-29	2.1668	35.285	4.5552
R872	49	450	Pico	RNA	-33.907	37.042	IO	IO	ISSG	Vertical_RNA	Mesopelagic	Aphotic	3	17/02/2011	DSL	13.543	4.1994	2.2667	0.017233	1.00E-12	1227.5	-9.99E-29	2.1668	35.285	4.5552
D870	49	800	Pico	DNA	-33.907	37.042	IO	IO	ISSG	Vertical_DNA	Mesopelagic	Aphotic	3	17/02/2011	max O2	10.084	3.8343	2.1099	0.017774	1.00E-12	771.07	0.021	2.0435	34.817	4.6542
R870	49	800	Pico	RNA	-33.907	37.042	IO	IO	ISSG	Vertical_RNA	Mesopelagic	Aphotic	3	17/02/2011	max O2	10.084	3.8343	2.1099	0.017774	1.00E-12	771.07	0.021	2.0435	34.817	4.6542
D868	49	1200	Pico	DNA	-33.907	37.042	IO	IO	ISSG	Vertical_DNA	Bathypelagic	Aphotic	3	17/02/2011	min sal	5.3051	3.3759	1.7341	0.019845	1.00E-12	646.38	0.019	1.8171	34.425	4.1762
R868	49	1200	Pico	RNA	-33.907	37.042	IO	IO	ISSG	Vertical_RNA	Bathypelagic	Aphotic	3	17/02/2011	min sal	5.3051	3.3759	1.7341	0.019845	1.00E-12	646.38	0.019	1.8171	34.425	4.1762
D866	49	3000	Pico	DNA	-33.907	37.042	IO	IO	ISSG	Vertical_DNA	Bathypelagic	Aphotic	3	17/02/2011	máx sal	2.269	3.2114	NA	NA	1.00E-12	1582.3	0.018	1.3603	34.808	NA
R866	49	3000	Pico	RNA	-33.907	37.042	IO	IO	ISSG	Vertical_RNA	Bathypelagic	Aphotic	3	17/02/2011	máx sal	2.269	3.2114	NA	NA	1.00E-12	1582.3	0.018	1.3603	34.808	NA
D864	49	4000	Pico	DNA	-33.907	37.042	IO	IO	ISSG	Vertical_DNA	Bathypelagic	Aphotic	3	17/02/2011	NA	1.1138	3.1411	1.3684	0.020958	1.00E-12	1135.9	0.021	-9.99E-29	34.737	4.6666
R864	49	4000	Pico	RNA	-33.907	37.042	IO	IO	ISSG	Vertical_RNA	Bathypelagic	Aphotic	3	17/02/2011	NA	1.1138	3.1411	1.3684	0.020958	1.00E-12	1135.9	0.021	-9.99E-29	34.737	4.6666
MD897	50	3	Pico	DNA	-33.563	39.885	IO	IO	ISSG	Surface	Surface	Photic	3	18/02/2011	Botellón superficie	24.103	5.2917	2.7179	0.037069	227.12	838.23	0.041	3.8861	35.589	4.5013
MD916	51	3	Pico	DNA	-33.194	43.248	IO	IO	ISSG	Surface	Surface	Photic	3	19/02/2011	Botellón superficie	23.327	5.2025	2.7123	0.036193	256.98	1180.5	0.041	4.5504	35.531	4.5495
MD940	52	3	Pico	DNA	-30.055	61.431	IO	IO	ISSG	Surface	Surface	Photic	3	24/02/2011	Botellón superficie	24.916	5.3301	2.6868	0.036495	40.951	568.78	0.038	5.8136	35.229	4.3974
MD962	53	3	Pico	DNA	-27.978	63.248	IO	IO	ISSG	Surface	Surface	Photic	3	25/02/2011	Botellón superficie	25.922	5.4501	2.688	0.031222	2.6704	39.216	0.035	6.2948	35.333	4.3232
MD985	54	3	Pico	DNA	-28.128	66.493	IO	IO	ISSG	Surface	Surface	Photic	3	26/02/2011	Botellón superficie	25.34	5.3992	2.6967	0.023377	482.71	2121.2	0.038	4.8305	35.416	4.3765
MD1013	55	3	Pico	DNA	-29.354	69.4	IO	IO	ISSG	Surface	Surface	Photic	3	27/02/2011	Botellón superficie	25.303	5.4171	2.6899	0.028737	69.625	563.02	0.032	5.0476	35.575	4.3637
D999	55	3	Pico	DNA	-29.354	69.4	IO	IO	ISSG	Vertical_DNA	Surface	Photic	3	27/02/2011	Botellón superficie	25.303	5.4171	2.6899	0.028737	69.625	563.02	0.032	5.0476	35.575	4.3637
R999	55	3	Pico	RNA	-29.354	69.4	IO	IO	ISSG	Vertical_RNA	Surface	Photic	3	27/02/2011	Botellón superficie	25.303	5.4171	2.6899	0.028737	69.625	563.02	0.032	5.0476	35.575	4.3637
D1011	55	130	Pico	DNA	-29.354	69.4	IO	IO	ISSG	Vertical_DNA	DCM	Photic	3	27/02/2011	DCM	17.341	4.6039	2.5214	0.14699	1.3644	685.14	0.035	4.9918	35.645	4.6789
R1011	55	130	Pico	RNA	-29.354	69.4	IO	IO	ISSG	Vertical_RNA	DCM	Photic	3	27/02/2011	DCM	17.341	4.6039	2.5214	0.14699	1.3644	685.14	0.035	4.9918	35.645	4.6789
D1009	55	400	Pico	DNA	-29.354	69.4	IO	IO	ISSG	Vertical_DNA	Mesopelagic	Aphotic	3	27/02/2011	max 02	12.423	4.0736	2.4029	0.017295	1.00E-12	881.49	0.022	4.9054	35.146	4.9903
R1009	55	400	Pico	RNA	-29.354	69.4	IO	IO	ISSG	Vertical_RNA	Mesopelagic	Aphotic	3	27/02/2011	max 02	12.423	4.0736	2.4029	0.017295	1.00E-12	881.49	0.022	4.9054	35.146	4.9903
